id,name,latitude,longitude,name_mm,road,township
873,Dawei Gyaung,16.90782,96.176711,ထားဝယ်ချောင်,Yarza Thingyan Road,North Dagon
874,Kyan Mar Yae,16.907604,96.184924,ကျန်းမာရေး,Yarza Thingyan Road,North Dagon
875,Kyan Mar Yae,16.907718,96.185024,ကျန်းမာရေး,Yarza Thingyan Road,North Dagon
878,Ngar-sae Kwae,16.908472,96.187022,(၅၀) ကွေ့,Pyi Htaung Su Main Road,North Dagon
879,Ngar-sae Kwae,16.908525,96.187086,(၅၀) ကွေ့,Pyi Htaung Su Main Road,North Dagon
880,Yone Shae,16.887568,96.19861,ရုံးရှေ့,Pyi Htaung Su Main Road,North Dagon
881,Yone Shae,16.887461,96.198773,ရုံးရှေ့,Pyi Htaung Su Main Road,North Dagon
882,Ga-gyi Zay,16.896452,96.159434,(ဃ) ဈေး,Thudhamar Road,North Okkalapa
883,Ga-gyi Zay,16.89677,96.159541,(ဃ) ဈေး,Thudhamar Road,North Okkalapa
884,Gate Haung,16.893741,96.157579,ဂိတ်ဟောင်း,Industrial Road,North Okkalapa
885,Kyauk Yae Twin,16.887911,96.154289,ကျောက်ရေတွင်း,Thudhamar Road,North Okkalapa
886,Kyauk Yae Twin,16.889508,96.153712,ကျောက်ရေတွင်း,Thudhamar Road,North Okkalapa
887,Myauk Okkalar Awine,16.89274,96.155061,မြောက်ဥက္ကလာအဝိုင်း,Thudhamar Road,North Okkalapa
888,Myauk Okkalar Awine,16.892733,96.154689,မြောက်ဥက္ကလာအဝိုင်း,Thudhamar Road,North Okkalapa
889,Phone Gyi Lan,16.881882,96.155511,ဘုန်းကြီးလမ်း,Thudhamar Road,North Okkalapa
890,Phone Gyi Lan,16.882091,96.155217,ဘုန်းကြီးလမ်း,Thudhamar Road,North Okkalapa
891,Yone Thit,16.895891,96.155854,ရုံးသစ်,Khaymarthi Road,North Okkalapa
892,Yone Thit,16.89591,96.155777,ရုံးသစ်,Khaymarthi Road,North Okkalapa
893,Gandar Yon,16.886544,96.164043,ဂန္ဓာရုံ,Bo Hmu Ba Htoo Road,North Dagon
894,Gandar Yon,16.886599,96.164116,ဂန္ဓာရုံ,Bo Hmu Ba Htoo Road,North Dagon
895,Khay Mar,16.885601,96.167122,ခေမာ,Bo Hmu Ba Htoo Road,North Dagon
896,Khay Mar,16.885808,96.167793,ခေမာ,Bo Hmu Ba Htoo Road,North Dagon
897,Khay Mar,16.885838,96.167698,ခေမာ,Bo Hmu Ba Htoo Road,North Dagon
898,Kyaung Kwae,16.889468,96.174992,ကျောင်းကွေ့,Bo Hmu Ba Htoo Road,North Dagon
899,Kyaung Kwae,16.889535,96.174954,ကျောင်းကွေ့,Bo Hmu Ba Htoo Road,North Dagon
900,Phyo Sabei,16.887428,96.170941,ဖြိုးစံပယ်,Bo Hmu Ba Htoo Road,North Dagon
901,Phyo Sabei,16.887479,96.170905,ဖြိုးစံပယ်,Bo Hmu Ba Htoo Road,North Dagon
902,Ba Htoo Zay,16.89564,96.187053,ဗထူးဈေး,Bo Hmu Ba Htoo Road,North Dagon
903,Ba Htoo Zay,16.895778,96.186991,ဗထူးဈေး,Bo Hmu Ba Htoo Road,North Dagon
904,Banyardala,16.894691,96.185181,ဗညားဒလ,Bo Hmu Ba Htoo Road,North Dagon
905,Banyardala,16.894789,96.185105,ဗညားဒလ,Bo Hmu Ba Htoo Road,North Dagon
914,Kyan Mar Yae,16.891392,96.178698,ကျန်းမာရေး,Bo Hmu Ba Htoo Road,North Dagon
915,Kyan Mar Yae,16.891451,96.178661,ကျန်းမာရေး,Bo Hmu Ba Htoo Road,North Dagon
916,Kyaung Lay Shae,16.893628,96.18304,ကျောင်းလေးရှေ့,Bo Hmu Ba Htoo Road,North Dagon
917,Kyaung Lay Shae,16.893696,96.183049,ကျောင်းလေးရှေ့,Bo Hmu Ba Htoo Road,North Dagon
918,Lay-sae-lay Lan Sone,16.89259,96.181006,(၄၄) လမ်းဆုံ,Bo Hmu Ba Htoo Road,North Dagon
919,Lay-sae-lay Lan Sone,16.892697,96.181052,(၄၄) လမ်းဆုံ,Bo Hmu Ba Htoo Road,North Dagon
925,Khun/ Shit Lan Sone,16.891066,96.196774,(၇/၈) လမ်းဆုံ,Pyi Htaung Su Main Road,North Dagon
926,Khun/ Shit Lan Sone,16.890983,96.196695,(၇/၈) လမ်းဆုံ,Pyi Htaung Su Main Road,North Dagon
927,Khun/ Shit Lan Sone,16.892317,96.196048,(၇/၈) လမ်းဆုံ,Pyi Htaung Su Main Road,North Dagon
928,Kone Padaythar,16.884204,96.200473,ကုန်ပဒေသာ,Pyi Htaung Su Main Road,North Dagon
929,Kone Padaythar,16.884233,96.200554,ကုန်ပဒေသာ,Pyi Htaung Su Main Road,North Dagon
930,Kyar Hmat Taing,16.89754,96.190648,ကြားမှတ်တိုင်,Bo Hmu Ba Htoo Road,North Dagon
931,Kyar Hmat Taing,16.897672,96.190745,ကြားမှတ်တိုင်,Bo Hmu Ba Htoo Road,North Dagon
935,Lay-sae-nga Hmat Taing,16.89475,96.194728,(၄၅) မှတ်တိုင်,Pyi Htaung Su Main Road,North Dagon
936,Lay-sae-nga Hmat Taing,16.89524,96.194346,(၄၅) မှတ်တိုင်,Pyi Htaung Su Main Road,North Dagon
945,Bo Min Gaung,16.890508,96.21328,ဗိုလ်မင်းခေါင်,Tapin Shwe Htee Road,North Dagon
