id,route_number,route_name,description,color
60,60,Padauk Chaung/Thiri Mingalar Market – (Moke Oo Yuzana Garden),(၆၀ အကြီး) ယုဇနဥယျာဉ်မြို့တော် - ကျောက်ကုန်း,2C8A6C
61,61,Nee Pyinyar Takke Tho – Sule Myodaw Khan Ma,(၆၁) အနောက်ပိုင်းနည်းပညာတက္ကသိုလ် - ဆူးလေ,405CAA
62,62,Dagon Takke Tho – Sar Taik,(၆၂) ဒဂုံတက္ကသိုလ် - ကြည့်မြင်တိုင်,DF504E
63,63,Kyauk Kone Htate – Than Lyet Soon,(၆၃) စံပြစျေး - သံလျက်စွန်း,DF504E
66,66,Computer – Sate Kyan Mar Yae Say Yon,(၆၆) ကွန်ပူတာတက္ကသိုလ် - စိတ်ကျန်းမာရေးဆေးရုံ,2C8A6C
68,68,Aung Myittar – Kyway Tit,(၆၈) ရွှေပြည်သာ (အိမ်မည်းကြီး) - နည်းပညာတက္ကသိုလ်,405CAA
69,69,Auk Gate – B.O.C,(၆၉) ရွှေပြည်သာ (အောက်ဆိပ်) - ဒဂုံဧရာအဝေးပြေး,405CAA
70,70,Nee Pyinyar Takke Tho (G.T.U) – Ocean,(၇၀) တောင်ဒဂုံ - ကျောက်ကုန်း,96509F
71,71,Lay Daung Kan (Site Mway Tit) – Zawana,(၇၁) သရက်ပင်ချောင် - စံပြဈေး,2C8A6C
72,72,Thone-Sae-Lay Kar Gyi Gate – Sule Pan Chan,(၇၂) ဧရာဝဏ် - ဆူးလေ,405CAA
